Processing stained_glass.midi...
Track 0: 
Track 1: [Staff 1]
Note Start: 0, Note End: 22533, Note Name: A5, Velocity: 68
Note Start: 0, Note End: 19986, Note Name: A#5, Velocity: 68
Note Start: 0, Note End: 21503, Note Name: C6, Velocity: 82
Note Start: 1, Note End: 35351, Note Name: E4, Velocity: 28
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 28
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 42
Note Start: 1, Note End: 35351, Note Name: E4, Velocity: 39
Note Start: 0, Note End: 18719, Note Name: F4, Velocity: 39
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 34
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 39
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 39
Note Start: 0, Note End: 11461, Note Name: G#4, Velocity: 34
Note Start: 259, Note End: 1294, Note Name: G6, Velocity: 36
Note Start: 342, Note End: 6695, Note Name: A#4, Velocity: 36
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 28
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 42
Note Start: 167, Note End: 9884, Note Name: A#6, Velocity: 31
Note Start: 1, Note End: 10495, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 10494, Note Name: C#4, Velocity: 28
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 38
Note Start: 82, Note End: 42322, Note Name: B6, Velocity: 36
Note Start: 21, Note End: 49163, Note Name: C#7, Velocity: 36
Note Start: 1, Note End: 64513, Note Name: A#0, Velocity: 30
Note Start: 297, Note End: 15222, Note Name: C4, Velocity: 28
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 28
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 38
Note Start: 412, Note End: 12202, Note Name: E3, Velocity: 36
Note Start: 1, Note End: 13066, Note Name: D#6, Velocity: 37
Note Start: 0, Note End: 10494, Note Name: C4, Velocity: 29
Note Start: 0, Note End: 35380, Note Name: D4, Velocity: 29
Note Start: 0, Note End: 17148, Note Name: A4, Velocity: 43
Note Start: 21, Note End: 65445, Note Name: B7, Velocity: 36
